,street,project,marketSegment,propertyType,enBlock,tenure,annual_appreciation,noOfTransactions,initialYear,leaseCommencement,leaseRemaining
1930,MOUNT SINAI AVENUE,LANDED HOUSING DEVELOPMENT,CCR,Semi-detached,False,Freehold,-0.05620982157995969,480,2017,1885.0,867.0
1501,HILLSIDE TERRACE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,-0.05634009556203437,702,2018,1878.0,859.0
3063,CORAL ISLAND,SENTOSA COVE,CCR,Detached,False,Leasehold,-0.05656133562625392,471,2017,2006.0,88.0
1993,POH HUAT ROAD,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,-0.05819780812916547,700,2018,1883.0,864.0
426,LORONG LEW LIAN,CHERRY GARDENS,OCR,Apartment,False,Leasehold,-0.05845005401657718,1907,2016,1996.0,79.0
1032,BUANGKOK GREEN,HOUGANG GREEN,OCR,Apartment,False,Leasehold,-0.0600005708903034,3091,2017,1994.0,76.0
1959,OCEAN DRIVE,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Leasehold,-0.06112298291870748,2110,2016,2005.0,88.0
2662,LIMBOK TERRACE,PARRY GREEN,OCR,Terrace,False,Leasehold,-0.062046716658663015,3019,2016,1996.0,79.0
1025,HUA GUAN AVENUE,HONG KONG PARK,RCR,Strata Detached,False,Freehold,-0.0627825594152238,4054,2017,1879.0,861.0
2357,JALAN GAHARU,MAYFAIR PARK,RCR,Semi-detached,False,Leasehold,-0.06427772813435302,717,2017,1952.0,34.0
2473,WEST COAST DRIVE,NEWEST,OCR,Apartment,False,Freehold,-0.06716478449124712,2156,2016,1928.0,868.0
448,CHUAN DRIVE,CHUAN VISTA,OCR,Terrace,False,Leasehold,-0.06811731158299136,697,2017,1997.0,79.0
2636,SOMME ROAD,PARC SOMME,RCR,Apartment,False,Leasehold,-0.06829424737590226,1896,2016,2008.0,91.0
3275,JALAN DERMAWAN,SUMMIT VILLE,OCR,Strata Semi-detached,False,Freehold,-0.0721311475409837,494,2017,1885.0,867.0
3655,TAN KIM CHENG ROAD,THE SIENA,CCR,Apartment,False,Leasehold,-0.07311790188502519,951,2017,2013.0,95.0
1529,JALAN ASAS,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Leasehold,-0.07312700882705035,940,2018,1947.0,28.0
2986,EAST COAST ROAD,ROXY SQUARE,RCR,Apartment,False,Freehold,-0.07348068538236717,1440,2017,1995.0,9977.0
3697,SIMON PLACE,THE TOP RESIDENCE,OCR,Strata Terrace,False,Freehold,-0.07363636363636365,723,2018,1884.0,865.0
2609,PARADISE ISLAND,PARADISE ISLAND,CCR,Detached,False,Leasehold,-0.07486790695416876,2104,2017,2005.0,87.0
3654,WAK HASSAN DRIVE,THE SHORELINE RESIDENCES II,OCR,Terrace,False,Leasehold,-0.07523998936067322,466,2019,2011.0,91.0
1784,LEITH ROAD,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,-0.07636824034736338,916,2016,1886.0,869.0
3642,SCOTTS ROAD,THE SCOTTS TOWER,CCR,Condominium,False,Leasehold,-0.07874167720796377,2065,2017,2010.0,96.0
1442,GALISTAN AVENUE,LANDED HOUSING DEVELOPMENT,OCR,Detached,False,Freehold,-0.08322187546440776,663,2017,1881.0,863.0
518,CRAIG ROAD,CRAIG PLACE,RCR,Apartment,False,Leasehold,-0.08611581213406745,2378,2017,1997.0,79.0
1507,HOLLAND GROVE VIEW,LANDED HOUSING DEVELOPMENT,CCR,Semi-detached,False,Leasehold,-0.09364632024684873,447,2017,1994.0,76.0
1389,EASTWOOD PLACE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Leasehold,-0.10479839168358543,699,2019,1995.0,75.0
3821,RIVER VALLEY ROAD,TWO8ONE STUDIO,CCR,Apartment,False,Freehold,-0.10506265664160404,479,2017,1841.0,823.0
1825,LORONG 3 GEYLANG,LANDED HOUSING DEVELOPMENT,RCR,Terrace,False,Leasehold,-0.10755267271283495,921,2017,1961.0,4.0
2018,ROBEY CRESCENT,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,-0.10838046138962294,714,2018,1875.0,856.0
1935,MUGLISTON GARDENS,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,-0.11226945334144012,936,2017,1886.0,868.0
1715,JALAN TARI PAYONG,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,-0.11510208041691498,1189,2016,1879.0,862.0
1762,KEW HEIGHTS,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Leasehold,-0.11963319949381676,471,2018,1994.0,75.0
1899,MARYLAND DRIVE,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Freehold,-0.11964662131621451,709,2017,1877.0,859.0
134,ALJUNIED ROAD,AVANT RESIDENCES,RCR,Apartment,False,Leasehold,-0.12158245845480165,10667,2018,2012.0,93.0
1663,JALAN PERGAM,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Leasehold,-0.12216384436321491,1142,2018,1965.0,46.0
2592,PALM GROVE AVENUE,PALM GROVE TERRACE,OCR,Terrace,False,Freehold,-0.12670983512768505,702,2018,1878.0,859.0
2051,SIAN TUAN AVENUE,LANDED HOUSING DEVELOPMENT,RCR,Semi-detached,False,Freehold,-0.1267349161901635,957,2018,1879.0,860.0
1256,BEECHWOOD GROVE,LANDED HOUSING DEVELOPMENT,OCR,Detached,False,Leasehold,-0.1277732911124247,1162,2017,1995.0,77.0
929,HAI SING CRESCENT,HAI SING PARK,OCR,Terrace,False,Freehold,-0.15826649887370947,474,2018,1876.0,857.0
1139,KENSINGTON PARK DRIVE,KENSINGTON PARK,OCR,Condominium,False,Freehold,-0.16279069767441856,484,2020,1878.0,857.0
3825,TOH TUCK ROAD,UNIQUE GARDEN,RCR,Semi-detached,False,Leasehold,-0.1887511815996823,686,2017,1972.0,54.0
673,EASTWOOD WALK,EASTWOOD WALK GARDENS,OCR,Terrace,False,Leasehold,-0.19819241574922103,466,2018,1995.0,76.0
3118,JALAN NAUNG,SILVER HILL,OCR,Terrace,False,Freehold,-0.20710861810790845,668,2016,1936.0,865.0
1695,JALAN SENDUDOK,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,-0.20872657287238988,480,2018,1885.0,866.0
2866,LORONG 4 GEYLANG,RESIDENTIAL APARTMENTS,RCR,Apartment,False,Freehold,-0.21014492753623187,455,2017,1957.0,939.0
1958,OAKWOOD GROVE,LANDED HOUSING DEVELOPMENT,OCR,Detached,False,Leasehold,-0.2318056648308419,469,2020,1995.0,74.0
950,HAZEL PARK TERRACE,HAZEL PARK TERRACE,OCR,Terrace,False,Freehold,-0.23858209972494118,466,2019,1882.0,862.0
1685,JALAN SEGAM,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Leasehold,-0.3273844652570618,692,2017,1965.0,47.0
2887,RANGOON ROAD,RESIDENTIAL APARTMENTS,RCR,Apartment,False,Freehold,-0.3930704898446834,456,2018,1960.0,9941.0
1728,JALAN UJI,LANDED HOUSING DEVELOPMENT,OCR,Detached,False,Leasehold,-0.6407771920736971,467,2017,1947.0,29.0
